id,user_id,created_at,closed_at,city_of_booking,start_date,end_date,cnt_of_person,min_price,max_price,booking_id,rules,meals,pets,parking,accessibility,facilities,search_settings,room_size,kids,pool_n_beach,sport,transfer,business,rating,score,other,search_mode,ai_chat_id
100000,1054,2026-01-27 21:58:00,,Krakow,2026-02-14,2026-02-19,2,0,765,,,Breakfast,,parking,,Soundproof room,Hide liked offers,19,,,,,,1,1,,ai,5437
100001,1060,2026-05-07 20:44:00,2026-05-07 21:07:00,Prague,2026-05-24,2026-05-31,1,100,315,75197,"Early check-in, Late check-out","All meals, All inclusive, Dinner",,parking,"Accessible public areas, Step-free access",Luggage storage,,0,,"Heated pool, Rooftop pool",,Shuttle service,,2,1,,manual,
100002,1447,2026-05-19 22:35:00,2026-05-19 22:37:00,Krakow,2026-06-14,2026-06-21,4,150,849,98737,,Breakfast,,parking,,Soundproof room,Hide liked offers,78,,,,,,1,2,,ai,7047
100003,1276,2026-03-28 22:34:00,2026-03-28 22:35:00,Warsaw,2026-04-06,2026-04-11,4,1944,2000,,,,,,,,,0,,Any pool,"Gym,Spa",,,5,9,,ai,5164
100004,1014,2026-01-02 00:51:00,,Paris,2026-01-06,2026-01-11,3,150,608,,,Breakfast,"Cats allowed, All pets allowed",parking,,,,0,Safe balcony,,Sauna,Shuttle service,Coworking lounge,1,3,English-speaking staff,manual,
100005,1033,2026-03-27 16:00:00,2026-03-27 16:03:00,Warsaw,2026-04-02,2026-04-03,4,1922,2000,79785,,,,,,,,97,,Any pool,"Gym,Spa",Shuttle service,,5,9,,ai,5225
100006,1138,2026-01-27 18:08:00,,Berlin,2026-02-20,2026-02-25,2,50,536,,"Early check-in, Free cancellation",,"Pet-welcome bonus, Allows 3+ pets",parking,Accessible public areas,"24/7 kitchen access, Kitchen",Hide liked offers,0,,"Heated pool, Any pool","Spa, Sauna",Shuttle service,,1,1,,manual,
100007,1008,2026-04-10 09:54:00,2026-04-10 10:14:00,Paris,2026-04-26,2026-05-01,3,50,285,86809,,"All meals, Dinner","Toys for pets, Unattended pets allowed, No pet deposit",parking,"Accessible parking on-site, Accessible bathroom",On-site restaurant,,14,,"Rooftop pool, Outdoor pool, Heated pool",,Shuttle service,Coworking lounge,1,4,"Boutique hotel, English-speaking staff",manual,
100008,1044,2026-04-20 02:05:00,,Krakow,2026-04-24,2026-04-29,2,50,811,,,Breakfast,,parking,,Soundproof room,,33,,,Sauna,,,2,1,,ai,6046
100009,1379,2026-02-24 11:29:00,2026-02-24 11:33:00,Gdansk,2026-03-02,2026-03-05,2,0,274,90578,,,,,,Beachfront,,80,"Family-friendly,Playground or Playroom",,,,,1,5,,ai,5412
